variable,correlation
v2medpolstate,0.569616053535701
v2edcenttxbooks,0.5695712463092666
v2edpatriot,0.5657245182539775
v2medentrain,0.561670018959517
v2cacamps,0.5574133787304572
v2medpatriot,0.5545759949489437
v2edteunionindp,0.5482161517687476
v2edscpatriotcb,0.5409686148669132
v2medpolnonstate,0.5268398538078202
v2edtehire,0.519495896433395
v2medstateprint,0.5160615502713837
v2regoppgroupssize,0.5120556993444717
v2exl_legitideol,0.4960361791444947
v2caautmob,0.4874045327112716
v2edscpatriot,0.4788690691891229
v2temonitor,0.47646736944573076
v2edteautonomy,0.45819385116099004
v2edtefire,0.4574253582801397
v2exl_legitlead,0.424057377090147
v2lgelecup,0.4222942075916791
v2castate,0.40667359465276015
v2lgdomchm,0.4045896024678948
country_id,0.3999646364587318
v2ddlexci,0.3946362591254465
v2psnatpar,0.39156613129117795
v2exdfvths,0.3900197692790413
gap_index,0.3817773493698243
v2edcentcurrlm,0.37353936583232406
v2clsnlpct,0.37027843805417704
v2edideol,0.3667523691046983
codingstart_hist,0.35611952439824485
v2exaphos,0.3499439661511428
v2ddlexrf,0.31781185858216665
v2exfxtmhg,0.2863939284789675
v2edscextracurr,0.27368985169675264
v2ddthreci,0.26714316743817274
v2exhoshog,0.26605214038864944
codingstart,0.2630208993111548
v2exapup,0.24171753622612135
v2ddsignci,0.23788213809415276
v2exapupap,0.2342298778470618
v2ddpartrf,0.23044913266212944
v2ellostsl,0.22665004447763723
v2medstatebroad,0.2230260314239831
v2exdfcbhs_rec,0.2037199706242645
v2ellovtlg,0.20340923800749655
v2lglegpup,0.20258568257433285
v2elintmon,0.1901281977416773
v2elloreseat,0.18693450896475555
v2exdfvthg,0.1764119383593343
v2exdfdshs,0.1710891754836301
v2exdeathos,0.17088229965006313
v2ex_hosw,0.16442209276424033
v2ddsignrf,0.16346729993038558
v3stnatant,0.16243370807328544
v2csantimv,0.16209805838873573
v2cademmob,0.15898662954341553
v2ddsigdci,0.13731195078197775
v2exdfcbhs,0.12821854369146687
v2ddthrerf,0.12458776997935776
v2exl_legitperf,0.12392869590435027
v2ellostlg,0.12322183665052608
v2smgovsm,0.12115629965372861
codingend_hist,0.11991994198155827
v2lgsrvlo,0.11985478231682657
v2regpower,0.11590920565975536
v2elmonden,0.10525768216960496
v2mecenefi,0.10236572833549731
v2elgvsuflvl,0.10116089222339786
v2ddsigdrf,0.10010584749499896
v2smorgviol,0.09870142169598244
v2expathhs,0.0923788529528161
v2elwestmon,0.09039137112971835
v2elmonref,0.08816844593217
v2ddyrci,0.08146143824961886
v2juflow,0.0769668786591052
v2exdfdmhs,0.0760036185558952
v2edtequal,0.07342465467932686
v2ddyrall,0.07162400238806144
v2ddsiglci,0.07013586274608231
v2elthresh,0.07000353296031278
v2elturnhos,0.06313197813516974
v2ddpartor,0.062184777950246926
v2ddyrrf,0.06126225008119829
v2regimpgroup,0.058794989217568636
v2edpoledprim,0.05638431751065627
v2eltvrexo,0.052300630539767134
v2ddpartpl,0.05220836740728056
v2exdfdshg,0.047772903600346805
v2ddpartci,0.045648811600400296
v2elpaidig,0.04207869742003871
v2elloeldm,0.03795584597017429
v2ddapprrf,0.03480976232177363
v3ststybpub,0.029520819452058002
v3ststybcov,0.028988185219097413
v2ddyrpl,0.028842676042731587
v2ddthrepl,0.028025010032266522
v2elloseat,0.025968398488152064
v2ellobaseat,0.0243356159169841
v2mefemjrn,0.024168284117319264
v2elturnhog,0.023510301527212053
v2edmath,0.021325067286676314
v2ddlexpl,0.018592239479698798
v2elvotsml,0.01843376636900692
v2lgintbup,0.016755686753045153
v2caprotac,0.01593011010044142
v2elpdcamp,0.013520691207607542
v2eltvrig,0.013170210202380133
v2smarrest,0.011179946782692546
v2ellobadis,0.004353371793975278
v2xex_elecreg,0.004289778901587926
v2elrstrct,0.0017075584488246644
v2lgtreaty,-0.0007950882465479415
v2elfemrst,-0.0027274663233939974
v2pscomprg,-0.003728034639275987
v2elage,-0.00810290439513924
v2svindep,-0.009053431753973948
