variable,correlation,abs_correlation
v2x_corr_codehigh,0.9983289868769356,0.9983289868769356
v2x_corr_codelow,0.9966844681093224,0.9966844681093224
v2xnp_regcorr_codehigh,0.960062240497054,0.960062240497054
v2xnp_regcorr,0.9565847699379746,0.9565847699379746
e_v2x_corr_5C,0.9360183946712862,0.9360183946712862
v2exaphos,0.930558684016493,0.930558684016493
v2xnp_regcorr_codelow,0.9071673848065579,0.9071673848065579
e_v2x_corr_4C,0.9021063294667526,0.9021063294667526
e_v2x_corr_3C,0.8999140301608056,0.8999140301608056
v2x_execorr_codehigh,0.8996122267439224,0.8996122267439224
v2x_execorr,0.8927325887081936,0.8927325887081936
v2x_rule_sd,0.8911532802126862,0.8911532802126862
v2xnp_regcorr_sd,-0.8835959024758797,0.8835959024758797
v2x_execorr_codelow,0.8674205730922898,0.8674205730922898
v2x_pubcorr_codehigh,0.8649545264922499,0.8649545264922499
v2exthftps_codehigh,-0.8578895896289817,0.8578895896289817
v2x_pubcorr,0.855779785415109,0.855779785415109
v2exbribe_osp,-0.8557197129371351,0.8557197129371351
v2exthftps,-0.8555686815955588,0.8555686815955588
v2exthftps_osp_codehigh,-0.8554575031472673,0.8554575031472673
v2exbribe_osp_codelow,-0.85465409789886,0.85465409789886
v2exthftps_osp,-0.8509360017968287,0.8509360017968287
v2jucorrdc_osp_codelow,-0.8476171053280326,0.8476171053280326
v2x_rule_codelow,-0.8452758874958082,0.8452758874958082
v2exembez,-0.8443068714277701,0.8443068714277701
v2exembez_codelow,-0.8439043745635683,0.8439043745635683
v2excrptps_osp,-0.843119531608572,0.843119531608572
v2x_corr_sd,0.8430590438576728,0.8430590438576728
v2exembez_osp_codelow,-0.8421052044738192,0.8421052044738192
v2exthftps_codelow,-0.8415988418218113,0.8415988418218113
v2exembez_codehigh,-0.8415741509782336,0.8415741509782336
v2exbribe_codelow,-0.8410257492453516,0.8410257492453516
v2jucorrdc_osp,-0.8393431001777102,0.8393431001777102
v2cltrnslw_codehigh,-0.8373586603584503,0.8373586603584503
v2excrptps_osp_codelow,-0.836717445574972,0.836717445574972
v2exthftps_osp_codelow,-0.8365344635383183,0.8365344635383183
v2cltrnslw,-0.8349513449024368,0.8349513449024368
v2exembez_osp,-0.8342549452022022,0.8342549452022022
v2exbribe_osp_codehigh,-0.8327867776951228,0.8327867776951228
v2x_pubcorr_codelow,0.8298626661262161,0.8298626661262161
v2jucorrdc_codelow,-0.8290656575844263,0.8290656575844263
v2exbribe,-0.8286180583288172,0.8286180583288172
e_wbgi_vae,-0.8284005534715669,0.8284005534715669
v2excrptps_osp_codehigh,-0.8283979651495605,0.8283979651495605
v2clrspct_osp_codehigh,-0.8283362721181365,0.8283362721181365
v2clrspct_osp,-0.827415664079538,0.827415664079538
v2cltrnslw_osp_codelow,-0.826980608787954,0.826980608787954
v2cltrnslw_osp,-0.8266394338917178,0.8266394338917178
v2cltrnslw_osp_codehigh,-0.8262400758654609,0.8262400758654609
v2exthftps_ord,-0.8261693594931345,0.8261693594931345
v2x_neopat_sd,-0.8253820153426332,0.8253820153426332
v2exbribe_ord,-0.8240559507629023,0.8240559507629023
v2clrspct_codehigh,-0.8230065053620305,0.8230065053620305
v2exthftps_ord_codehigh,-0.8226729121808918,0.8226729121808918
v2x_rule,-0.8225955001271709,0.8225955001271709
v2clrspct_osp_codelow,-0.8214304343448231,0.8214304343448231
v2cltrnslw_codelow,-0.8207213896659044,0.8207213896659044
v2clrspct,-0.8186873959970447,0.8186873959970447
v2exbribe_ord_codelow,-0.8183932536546409,0.8183932536546409
v2exembez_ord,-0.8182942607725198,0.8182942607725198
v2jucorrdc_osp_codehigh,-0.8178642989419674,0.8178642989419674
e_wbgi_rle,-0.8175672300400104,0.8175672300400104
v2excrptps,-0.8170177354374153,0.8170177354374153
v2exapup,0.8157355230037516,0.8157355230037516
e_wbgi_cce,-0.8148986690156946,0.8148986690156946
e_ti_cpi,-0.81421771121879,0.81421771121879
v2excrptps_codelow,-0.8141414020149081,0.8141414020149081
v2jucorrdc,-0.8136303562751922,0.8136303562751922
v2x_neopat_codehigh,0.8124950548125468,0.8124950548125468
v2juaccnt_osp,-0.8121746383473192,0.8121746383473192
v2cltrnslw_ord,-0.8098177302960131,0.8098177302960131
v2juaccnt_osp_codehigh,-0.8094293270516445,0.8094293270516445
e_wbgi_gee,-0.8084969141910048,0.8084969141910048
v2excrptps_codehigh,-0.8080459218392989,0.8080459218392989
v2clrspct_codelow,-0.8052919585808355,0.8052919585808355
v2exembez_ord_codelow,-0.8045653836347239,0.8045653836347239
e_v2x_execorr_5C,0.8037824456366433,0.8037824456366433
v2juaccnt_osp_codelow,-0.8029326513870365,0.8029326513870365
v2exbribe_codehigh,-0.80262038499019,0.80262038499019
v2exembez_osp_codehigh,-0.8025718952294137,0.8025718952294137
v2juaccnt_codelow,-0.8023649560754645,0.8023649560754645
v2cltrnslw_ord_codehigh,-0.8013652623160832,0.8013652623160832
v2exembez_ord_codehigh,-0.7994251594201623,0.7994251594201623
v2clrspct_ord_codehigh,-0.7970116070063843,0.7970116070063843
v2lgcrrpt_osp,-0.7958900971772976,0.7958900971772976
v2juaccnt,-0.7948997223367278,0.7948997223367278
v2exbribe_ord_codehigh,-0.7938088247031305,0.7938088247031305
v2x_neopat,0.7929378545454054,0.7929378545454054
v2exapupap,0.7916511220032524,0.7916511220032524
v2exthftps_ord_codelow,-0.7906812020815082,0.7906812020815082
v2clrspct_ord_codelow,-0.7905321905682882,0.7905321905682882
v2lgcrrpt_codelow,-0.7893040203389843,0.7893040203389843
v2lgcrrpt_osp_codelow,-0.7892775541397037,0.7892775541397037
v2clrspct_ord,-0.7869898768802026,0.7869898768802026
v2x_pubcorr_sd,-0.7864527530319866,0.7864527530319866
v2lgcrrpt_ord_codelow,-0.7862088459211325,0.7862088459211325
v2x_execorr_sd,-0.7824029598892766,0.7824029598892766
v2xnp_client_codehigh,0.782109081363574,0.782109081363574
v2juaccnt_codehigh,-0.7805140732522754,0.7805140732522754
v2jucorrdc_codehigh,-0.7803959395013716,0.7803959395013716
v2xnp_client,0.7797755241209752,0.7797755241209752
